Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3]
1s7hF4kkb7XRX_dK$UQExS,False,1,Contec_NotueberlaufEckig:Contec_NotueberlaufEckig:7131598,IfcBuildingElementProxy,Contec_NotueberlaufEckig:Contec_NotueberlaufEckig,3D-Schnittmaterial,0,,0.34,0.102,0.001
2TLYsKbtX0nh0z8PYscOBM,False,1,Dachdämmung_V3:Dachdämmung_V3:5659319,IfcBuildingElementProxy,Dachdämmung_V3:Dachdämmung_V3,Material 2,0,,0.0,77.7005,7.77
0nK9oFqBX9tfLI4$NtgMoA,False,1,Einfügepunkt:Einfügepunkt:5139138,IfcBuildingElementProxy,Einfügepunkt:Einfügepunkt,Körpermodell,0,,0.06,0.0036,0.0
2CLn4ZUSr8B8TuzLO7ROP3,False,1,Einlauf Contec Tube:DN110:6763225,IfcBuildingElementProxy,Einlauf Contec Tube:DN110,3D-Schnittmaterial,0,,0.3,0.072,0.0004
2BG9j1Bgb2xOV69dnpdgb9,False,1,FE TÜR 3 tlg - DK-Fix im Rahmen-DK:Fenster Büro1:1813086,IfcWindow,FE TÜR 3 tlg - DK-Fix im Rahmen-DK:Fenster Büro1,Unknown,0,,3.32,7.5364,0.3749
2BG9j1Bgb2xOV69dnpdgeX,False,1,FE TÜR 3 tlg - DK-Fix im Rahmen-DK:Fenster Büro2:1812790,IfcWindow,FE TÜR 3 tlg - DK-Fix im Rahmen-DK:Fenster Büro2,Unknown,0,,3.99,9.0573,0.4446
2HRNy9Dlv5uw9UESvb_JkV,False,1,Floor:3-Schichtplatte 27mm B/C:4895632,IfcSlab,Floor:3-Schichtplatte 27mm B/C,3-Schicht-Platte,0,0.027,16.23,77.2548,0.1159
0mZKsgvRH1Mhc20hMTKOGe,False,1,Floor:3-Schichtplatte 40mm:5206093,IfcSlab,Floor:3-Schichtplatte 40mm,Massivholz,0,0.04,1.21,0.5445,0.0218
0hwsZ_JYbDhgh3xE2hTxxt,False,1,Floor:Betonauflager 15cm:3980840,IfcSlab,Floor:Betonauflager 15cm,Beton,0,0.15,1.48,0.9324,0.1336
1ToJR57Y16uvjKSTB4E_Uw,False,1,Floor:Boden BSP 120 - 5s:1353113,IfcSlab,Floor:Boden BSP 120 - 5s,Brettsperrholz,0,,16.66,88.298,2.4818
