Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3],GWPbiogenic (min),GWPbiogenic (mean),GWPbiogenic (max),GWPfossil (min),GWPfossil (mean),GWPfossil (max),GWPtotal (min),GWPtotal (mean),GWPtotal (max),GWPtotal (A1-A3) (min),GWPtotal (A1-A3) (mean),GWPtotal (A1-A3) (max),GWPtotal (A4) (min),GWPtotal (A4) (mean),GWPtotal (A4) (max),GWPtotal (A5) (min),GWPtotal (A5) (mean),GWPtotal (A5) (max),GWPtotal (C1) (min),GWPtotal (C1) (mean),GWPtotal (C1) (max),GWPtotal (C2) (min),GWPtotal (C2) (mean),GWPtotal (C2) (max),GWPtotal (C3) (min),GWPtotal (C3) (mean),GWPtotal (C3) (max),GWPtotal (C4) (min),GWPtotal (C4) (mean),GWPtotal (C4) (max)
6621a241af_L2,True,10,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte,MDF,2,0.012,5.5027,10.4326,0.125,0.0587,0.43,0.8013,21.9561,34.3623,46.7686,22.1629,35.1636,48.1642,-95.6195,-96.6298,-97.64,0.0,1.6713,3.3427,0.0,5.8563,11.7125,0.0,0.0019,0.0037,0.3435,0.5444,0.7454,117.4389,58.7195,0.0,0.0,65.0,130.0
f3de7c9098,True,18,Basic Wall:Innenwandelement Archisonic ohne MDF,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,Archisonic Charcoal,0,0.012,17.6819,11.7994,0.1417,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
d372e74286,True,11,Basic Wall:KVH Balken 120mm,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,Brettschichtholz C24,0,0.12,43.933,9.3071,1.1024,7.711,3.8555,0.0,183.9811,199.3507,214.7202,94.3003,154.9273,215.5543,-757.1175,-684.1146,-611.1118,0.0,2.6357,5.2713,0.0,0.7637,1.5273,0.0,0.0,0.0,1.6168,11.3518,21.0868,849.801,824.2909,798.7808,0.0,0.0,0.0
6f5992e3c2,True,4,Basic Wall:Massivholz 24mm,IfcWallStandardCase,Basic Wall:Massivholz 24mm,Massivholz Fichte,0,0.024,0.3678,0.9548,0.0231,-18.3941,-9.1867,0.0206,2.8203,2.816,2.8117,1.5492,2.2039,2.8586,-17.1229,-16.5105,-15.8981,0.0,0.0,0.0,0.1073,0.0537,0.0,0.0,0.0,0.0,0.0146,0.0263,0.0379,18.5502,18.6345,18.7188,0.0,0.0,0.0
795c75da48,True,5,Basic Wall:Purenit Fusspunkt,IfcWall,Basic Wall:Purenit Fusspunkt,Purenit,0,0.025,27.69,7.5912,0.1765,0.1214,0.1214,0.1214,46.581,46.581,46.581,46.7138,46.7138,46.7138,31.0725,31.0725,31.0725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454,0.0454,0.0454,15.5858,15.5858,15.5858,0.0102,0.0102,0.0102
6bc3c88965,True,4,Basic Wall:Purenit Fusspunkt (2),IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,Purenit,0,0.025,2.6511,0.9442,0.0235,0.0162,0.0162,0.0162,6.202,6.202,6.202,6.2197,6.2197,6.2197,4.1371,4.1371,4.1371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.006,2.0752,2.0752,2.0752,0.0014,0.0014,0.0014
c7d2a47639,True,5,Basic Wall:PV Fassade Terasse,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,Körpermodell,0,0.008,6.1,18.3854,0.1471,-94.1086,-36.7547,20.5992,2716.4428,3668.7146,4620.9864,2626.5382,3637.1836,4647.8291,2003.457,3170.5622,4337.6674,40.6317,86.6872,132.7426,18.5693,35.3919,52.2145,10.112,10.112,10.112,6.6187,6.0671,5.5156,537.4052,316.6885,95.9718,9.7443,11.6747,13.6052
23b6fd65cb_L1,True,4,Basic Wall:Wärmedämmung_200 (L1),IfcWallStandardCase,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,12.5475,19.415,1.925,0.9664,3.0209,5.0753,132.4395,202.1349,271.8303,133.4943,205.332,277.1696,128.9268,180.7346,232.5423,0.0,2.1015,4.203,0.0,17.8117,35.6233,0.0,0.0,0.0,0.3797,0.4817,0.5837,2.6886,1.3443,0.0,1.4992,2.8583,4.2174
23b6fd65cb_L2,True,4,Basic Wall:Wärmedämmung_200 (L2),IfcWallStandardCase,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",2,0.1,12.5475,19.415,1.925,0.9664,3.0209,5.0753,132.4395,202.1349,271.8303,133.4943,205.332,277.1696,128.9268,180.7346,232.5423,0.0,2.1015,4.203,0.0,17.8117,35.6233,0.0,0.0,0.0,0.3797,0.4817,0.5837,2.6886,1.3443,0.0,1.4992,2.8583,4.2174
0087876720_L1,True,6,Basic Wall:Wärmedämmung_200 (2) (L1),IfcWall,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,29.77,85.4521,6.6759,3.3514,10.4762,17.601,459.3004,701.0039,942.7074,462.9583,712.0913,961.2243,447.1183,626.7875,806.4567,0.0,7.288,14.5759,0.0,61.7707,123.5415,0.0,0.0,0.0,1.3168,1.6706,2.0244,9.324,4.662,0.0,5.1992,9.9125,14.6259
